Typ normy,Strefa,Informacje dotyczące obszaru przekroczenia,Przyczyny przekroczenia,Stanowisko pomiarowe,Data i godzina,Czas trwania,Liczba mieszkańców,Wartość maksymalnego stężenia (µg/m3),Informacje o podjętych ograniczeniach,Dodatkowe informacje,Odnośnik do strony internetowej z informacjami,Odnośnik do strony internetowej z planem działań,Prognoza zmian stężeń,"Obszar geograficzny, na którym spodziewane są przekroczenia",Informacje w sprawie grup ludności objętych ryzykiem,Opis prawdopodobnych symptomów,Zalecane środki ostrożności,"Wskazanie, gdzie można uzyskać dalsze informacje",Identyfikator stacji,Kod stacji,Nazwa stacji,WGS84 φ N,WGS84 λ E,Identyfikator miasta,Nazwa miasta,Gmina,Powiat,Województwo,Ulica
Próg Informowania (PI) - Ochrona Zdrowia (OZ) / S24 > 100 ug/m3,PL2405 strefa śląska,powiat cieszyński,"Niekorzystne warunki klimatyczne/meteorologiczne, rozumiane jako wystąpienie niekorzystnej sytuacji meteorologicznej, z punktu widzenia zanieczyszczenia powietrza w rozważanym okresie,Oddziaływanie emisji związanych z indywidualnym ogrzewaniem budynków",SlCiesChopin,2021-12-12 00:00:00,24godziny,177536.0,109.5,"Zalecane zachowania ludności określone zostały w powiadomieniu przekazanym do Wojewódzkiego Centrum Zarządzania Kryzysowego. Ograniczenia i działania określone są w Planie działań krótkoterminowych, stanowiącym integralną część POP, uchwalonego w woj. śląskim w czerwcu 2020 roku.",,,,,,,,,,16406.0,SlCiesChopin,"Cieszyn, ul. Chopina",49.755989,18.634075,124.0,Cieszyn,Cieszyn,cieszyński,ŚLĄSKIE,ul. Chopina 37
Próg Informowania (PI) - Ochrona Zdrowia (OZ) / S24 > 100 ug/m3,PL2402 Aglomeracja Rybnicko-Jastrzębska,"powiat miasto Rybnik, powiat miasto Żory, powiat miasto Jastrzębie-Zdrój, powiat rybnicki, powiat mikołowski","Oddziaływanie emisji związanych z indywidualnym ogrzewaniem budynków,Niekorzystne warunki klimatyczne/meteorologiczne, rozumiane jako wystąpienie niekorzystnej sytuacji meteorologicznej, z punktu widzenia zanieczyszczenia powietrza w rozważanym okresie",SlRybniBorki,2021-12-12 00:00:00,24godziny,465378.0,114.3,"Zalecane zachowania ludności określone zostały w powiadomieniu przekazanym do Wojewódzkiego Centrum Zarządzania Kryzysowego. Ograniczenia i działania określone są w Planie działań krótkoterminowych, stanowiącym integralną część POP, uchwalonego w woj. śląskim w czerwcu 2020 roku.",,,,,,,,,,834.0,SlRybniBorki,"Rybnik, ul. Borki",50.111181,18.516139,804.0,Rybnik,Rybnik,Rybnik,ŚLĄSKIE,ul. Borki 37 d
Próg Informowania (PI) - Ochrona Zdrowia (OZ) / S24 > 100 ug/m3,PL2401 Aglomeracja Górnośląska,"powiat miasto Zabrze, powiat miasto Bytom, powiat miasto Piekary Śląskie, powiat miasto Ruda Śląska, powiat miasto Świętochłowice","Niekorzystne warunki klimatyczne/meteorologiczne, rozumiane jako wystąpienie niekorzystnej sytuacji meteorologicznej, z punktu widzenia zanieczyszczenia powietrza w rozważanym okresie,Oddziaływanie emisji związanych z indywidualnym ogrzewaniem budynków",SlZabSkloCur,2021-12-12 00:00:00,24godziny,574412.0,121.3,"Zalecane zachowania ludności określone zostały w powiadomieniu przekazanym do Wojewódzkiego Centrum Zarządzania Kryzysowego. Ograniczenia i działania określone są w Planie działań krótkoterminowych, stanowiącym integralną część POP, uchwalonego w woj. śląskim w czerwcu 2020 roku.",,,,,,,,,,,,,,,,,,,,
Próg Informowania (PI) - Ochrona Zdrowia (OZ) / S24 > 100 ug/m3,PL2405 strefa śląska,"powiat zawierciański, powiat myszkowski","Niekorzystne warunki klimatyczne/meteorologiczne, rozumiane jako wystąpienie niekorzystnej sytuacji meteorologicznej, z punktu widzenia zanieczyszczenia powietrza w rozważanym okresie,Oddziaływanie emisji związanych z indywidualnym ogrzewaniem budynków",SlZawGalczyn,2021-12-12 00:00:00,24godziny,187158.0,120.1,"Zalecane zachowania ludności określone zostały w powiadomieniu przekazanym do Wojewódzkiego Centrum Zarządzania Kryzysowego. Ograniczenia i działania określone są w Planie działań krótkoterminowych, stanowiącym integralną część POP, uchwalonego w woj. śląskim w czerwcu 2020 roku.",,,,,,,,,,11455.0,SlZawGalczyn,"Zawiercie, ul. K.I.Gałczyńskiego",50.493045,19.439012,1086.0,Zawiercie,Zawiercie,zawierciański,ŚLĄSKIE,ul. K.I.Gałczyńskiego 3
Próg Informowania (PI) - Ochrona Zdrowia (OZ) / S24 > 100 ug/m3,PL2405 strefa śląska,powiat wodzisławski,"Niekorzystne warunki klimatyczne/meteorologiczne, rozumiane jako wystąpienie niekorzystnej sytuacji meteorologicznej, z punktu widzenia zanieczyszczenia powietrza w rozważanym okresie,Oddziaływanie emisji związanych z indywidualnym ogrzewaniem budynków",SlWodzGalczy,2021-12-12 00:00:00,24godziny,156579.0,125.6,"Zalecane zachowania ludności określone zostały w powiadomieniu przekazanym do Wojewódzkiego Centrum Zarządzania Kryzysowego. Ograniczenia i działania określone są w Planie działań krótkoterminowych, stanowiącym integralną część POP, uchwalonego w woj. śląskim w czerwcu 2020 roku.",,,,,,,,,,845.0,SlWodzGalczy,"Wodzisław Śląski, ul. Gałczyńskiego",50.007629,18.455548,1050.0,Wodzisław Śląski,Wodzisław Śląski,wodzisławski,ŚLĄSKIE,ul. Gałczyńskiego 1
Próg Informowania (PI) - Ochrona Zdrowia (OZ) / S24 > 100 ug/m3,PL2405 strefa śląska,"powiat pszczyński, powiat bielski","Oddziaływanie emisji związanych z indywidualnym ogrzewaniem budynków,Niekorzystne warunki klimatyczne/meteorologiczne, rozumiane jako wystąpienie niekorzystnej sytuacji meteorologicznej, z punktu widzenia zanieczyszczenia powietrza w rozważanym okresie",SlGoczaUzdroMOB,2021-12-12 00:00:00,24godziny,278162.0,105.7,"Zalecane zachowania ludności określone zostały w powiadomieniu przekazanym do Wojewódzkiego Centrum Zarządzania Kryzysowego. Ograniczenia i działania określone są w Planie działań krótkoterminowych, stanowiącym integralną część POP, uchwalonego w woj. śląskim w czerwcu 2020 roku.",,,,,,,,,,11457.0,SlGoczaUzdroMOB,"Goczałkowice Zdrój, ul. Parkowa",49.937850,18.975594,2280.0,Goczałkowice-Zdrój,Goczałkowice-Zdrój,pszczyński,ŚLĄSKIE,ul. Parkowa
Poziom Alarmowy (PA) - Ochrona Zdrowia (OZ) / S24 > 150 ug/m3,PL2405 strefa śląska,"powiat pszczyński, powiat bielski",Oddziaływanie emisji związanych z indywidualnym ogrzewaniem budynków,SlGoczaUzdroMOB,2021-12-11 00:00:00,24godziny,278162.0,150.6,"Zalecane zachowania ludności określone zostały w powiadomieniu przekazanym do Wojewódzkiego Centrum Zarządzania Kryzysowego. Ograniczenia i działania określone są w Planie działań krótkoterminowych, stanowiącym integralną część POP, uchwalonego w woj. śląskim w czerwcu 2020 roku.",,,,,,,,,,11457.0,SlGoczaUzdroMOB,"Goczałkowice Zdrój, ul. Parkowa",49.937850,18.975594,2280.0,Goczałkowice-Zdrój,Goczałkowice-Zdrój,pszczyński,ŚLĄSKIE,ul. Parkowa
Poziom Dopuszczalny (PD) - Ochrona Zdrowia (OZ) / > 35 dni z S24 > 50 ug/m3,PL2401 Aglomeracja Górnośląska,"powiat miasto Katowice, powiat miasto Chorzów, powiat miasto Mysłowice, powiat miasto Siemianowice Śląskie",Oddziaływanie emisji związanych z indywidualnym ogrzewaniem budynków,SlKatoKossut,2021-12-11 00:00:00,24godziny,538228.0,103.5901625,"Zalecane zachowania ludności określone zostały w powiadomieniu przekazanym do Wojewódzkiego Centrum Zarządzania Kryzysowego. Ograniczenia i działania określone są w Planie działań krótkoterminowych, stanowiącym integralną część POP, uchwalonego w woj. śląskim w czerwcu 2020 roku.",,,,,,,,,,814.0,SlKatoKossut,"Katowice, ul. Kossutha",50.264611,18.975028,350.0,Katowice,Katowice,Katowice,ŚLĄSKIE,ul. Kossutha 6
Próg Informowania (PI) - Ochrona Zdrowia (OZ) / S24 > 100 ug/m3,PL2405 strefa śląska,powiat żywiecki,Oddziaływanie emisji związanych z indywidualnym ogrzewaniem budynków,SlZywieKoper,2021-12-11 00:00:00,24godziny,152199.0,108.9,"Zalecane zachowania ludności określone zostały w powiadomieniu przekazanym do Wojewódzkiego Centrum Zarządzania Kryzysowego. Ograniczenia i działania określone są w Planie działań krótkoterminowych, stanowiącym integralną część POP, uchwalonego w woj. śląskim w czerwcu 2020 roku.",,,,,,,,,,856.0,SlZywieKoper,"Żywiec, ul. Kopernika",49.671602,19.234446,1131.0,Żywiec,Żywiec,żywiecki,ŚLĄSKIE,ul. Kopernika 83 a
Próg Informowania (PI) - Ochrona Zdrowia (OZ) / S24 > 100 ug/m3,PL2405 strefa śląska,"powiat zawierciański, powiat myszkowski",Oddziaływanie emisji związanych z indywidualnym ogrzewaniem budynków,SlZawGalczyn,2021-12-11 00:00:00,24godziny,187158.0,143.7,"Zalecane zachowania ludności określone zostały w powiadomieniu przekazanym do Wojewódzkiego Centrum Zarządzania Kryzysowego. Ograniczenia i działania określone są w Planie działań krótkoterminowych, stanowiącym integralną część POP, uchwalonego w woj. śląskim w czerwcu 2020 roku.",,,,,,,,,,11455.0,SlZawGalczyn,"Zawiercie, ul. K.I.Gałczyńskiego",50.493045,19.439012,1086.0,Zawiercie,Zawiercie,zawierciański,ŚLĄSKIE,ul. K.I.Gałczyńskiego 3
Próg Informowania (PI) - Ochrona Zdrowia (OZ) / S24 > 100 ug/m3,PL2405 strefa śląska,powiat żywiecki,Oddziaływanie emisji związanych z indywidualnym ogrzewaniem budynków,SlZywieKoper,2021-12-10 00:00:00,24godziny,152199.0,106.9,"Zalecane zachowania ludności określone zostały w powiadomieniu przekazanym do Wojewódzkiego Centrum Zarządzania Kryzysowego. Ograniczenia i działania określone są w Planie działań krótkoterminowych, stanowiącym integralną część POP, uchwalonego w woj. śląskim w czerwcu 2020 roku.",,,,,,,,,,856.0,SlZywieKoper,"Żywiec, ul. Kopernika",49.671602,19.234446,1131.0,Żywiec,Żywiec,żywiecki,ŚLĄSKIE,ul. Kopernika 83 a
Poziom Dopuszczalny (PD) - Ochrona Zdrowia (OZ) / > 35 dni z S24 > 50 ug/m3,PL2401 Aglomeracja Górnośląska,"powiat miasto Tychy, powiat bieruńsko-lędziński",Oddziaływanie emisji związanych z indywidualnym ogrzewaniem budynków,SlTychyTolst,2021-12-10 00:00:00,24godziny,186694.0,118.7482875,"Zalecane zachowania ludności określone zostały w powiadomieniu przekazanym do Wojewódzkiego Centrum Zarządzania Kryzysowego. Ograniczenia i działania określone są w Planie działań krótkoterminowych, stanowiącym integralną część POP, uchwalonego w woj. śląskim w czerwcu 2020 roku.",,,,,,,,,,841.0,SlTychyTolst,"Tychy, ul. Tołstoja",50.099903,18.990236,988.0,Tychy,Tychy,Tychy,ŚLĄSKIE,ul. Tołstoja 1
Próg Informowania (PI) - Ochrona Zdrowia (OZ) / S24 > 100 ug/m3,PL2405 strefa śląska,powiat żywiecki,Oddziaływanie emisji związanych z indywidualnym ogrzewaniem budynków,SlZywieKoper,2021-12-09 00:00:00,24godziny,152199.0,101.5,"Zalecane zachowania ludności określone zostały w powiadomieniu przekazanym do Wojewódzkiego Centrum Zarządzania Kryzysowego. Ograniczenia i działania określone są w Planie działań krótkoterminowych, stanowiącym integralną część POP, uchwalonego w woj. śląskim w czerwcu 2020 roku.",,,,,,,,,,856.0,SlZywieKoper,"Żywiec, ul. Kopernika",49.671602,19.234446,1131.0,Żywiec,Żywiec,żywiecki,ŚLĄSKIE,ul. Kopernika 83 a
Poziom Dopuszczalny (PD) - Ochrona Zdrowia (OZ) / > 35 dni z S24 > 50 ug/m3,PL2405 strefa śląska,,Oddziaływanie emisji związanych z indywidualnym ogrzewaniem budynków,SlCiesChopin,2021-11-26 00:00:00,,177536.0,163.429508333,"Zalecane zachowania ludności określone zostały w powiadomieniu przekazanym do Wojewódzkiego Centrum Zarządzania Kryzysowego. Ograniczenia i działania określone są w Planie działań krótkoterminowych, stanowiącym integralną część POP, uchwalonego w woj. śląskim w czerwcu 2020 roku.",,,,,,,,,,16406.0,SlCiesChopin,"Cieszyn, ul. Chopina",49.755989,18.634075,124.0,Cieszyn,Cieszyn,cieszyński,ŚLĄSKIE,ul. Chopina 37
Poziom Dopuszczalny (PD) - Ochrona Zdrowia (OZ) / > 35 dni z S24 > 50 ug/m3,PL2401 Aglomeracja Górnośląska,"powiat miasto Dąbrowa Górnicza, powiat będziński",Oddziaływanie emisji związanych z indywidualnym ogrzewaniem budynków,SlDabroTysia,2021-11-26 00:00:00,,265462.0,96.132129167,"Zalecane zachowania ludności określone zostały w powiadomieniu przekazanym do Wojewódzkiego Centrum Zarządzania Kryzysowego. Ograniczenia i działania określone są w Planie działań krótkoterminowych, stanowiącym integralną część POP, uchwalonego w woj. śląskim w czerwcu 2020 roku.",,,,,,,,,,805.0,SlDabroTysia,"Dąbrowa Górnicza, ul. Tysiąclecia",50.329111,19.231222,157.0,Dąbrowa Górnicza,Dąbrowa Górnicza,Dąbrowa Górnicza,ŚLĄSKIE,ul. Tysiąclecia 25 a
Poziom Dopuszczalny (PD) - Ochrona Zdrowia (OZ) / > 35 dni z S24 > 50 ug/m3,PL2401 Aglomeracja Górnośląska,"powiat miasto Gliwice, powiat gliwicki, powiat tarnogórski",Oddziaływanie emisji związanych z indywidualnym ogrzewaniem budynków,SlGliwicMewy,2021-11-16 00:00:00,,433245.0,106.707034783,"Zalecane zachowania ludności określone zostały w powiadomieniu przekazanym do Wojewódzkiego Centrum Zarządzania Kryzysowego. Ograniczenia i działania określone są w Planie działań krótkoterminowych, stanowiącym integralną część POP, uchwalonego w woj. śląskim w czerwcu 2020 roku.",,,,,,,,,,809.0,SlGliwicMewy,"Gliwice, ul. Mewy",50.279481,18.655736,221.0,Gliwice,Gliwice,Gliwice,ŚLĄSKIE,ul. Mewy 34
Próg Informowania (PI) - Ochrona Zdrowia (OZ) / S24 > 100 ug/m3,PL2405 strefa śląska,powiat pszczyński,"Niekorzystne warunki klimatyczne/meteorologiczne, rozumiane jako wystąpienie niekorzystnej sytuacji meteorologicznej, z punktu widzenia zanieczyszczenia powietrza w rozważanym okresie,Oddziaływanie emisji związanych z indywidualnym ogrzewaniem budynków",SlGoczaUzdroMOB,2021-10-29 00:00:00,24godziny,111814.0,112.2,"Zalecane zachowania ludności określone zostały w powiadomieniu przekazanym do Wojewódzkiego Centrum Zarządzania Kryzysowego. Ograniczenia i działania określone są w Planie działań krótkoterminowych, stanowiącym integralną część POP, uchwalonego w woj. śląskim w czerwcu 2020 roku.",,,,,,,,,,11457.0,SlGoczaUzdroMOB,"Goczałkowice Zdrój, ul. Parkowa",49.937850,18.975594,2280.0,Goczałkowice-Zdrój,Goczałkowice-Zdrój,pszczyński,ŚLĄSKIE,ul. Parkowa
Próg Informowania (PI) - Ochrona Zdrowia (OZ) / S24 > 100 ug/m3,PL2405 strefa śląska,powiat pszczyński,"Niekorzystne warunki klimatyczne/meteorologiczne, rozumiane jako wystąpienie niekorzystnej sytuacji meteorologicznej, z punktu widzenia zanieczyszczenia powietrza w rozważanym okresie,Oddziaływanie emisji związanych z indywidualnym ogrzewaniem budynków",SlGoczaUzdroMOB,2021-10-28 00:00:00,24godziny,111814.0,106.3,"Zalecane zachowania ludności określone zostały w powiadomieniu przekazanym do Wojewódzkiego Centrum Zarządzania Kryzysowego. Ograniczenia i działania określone są w Planie działań krótkoterminowych, stanowiącym integralną część POP, uchwalonego w woj. śląskim w czerwcu 2020 roku.",,,,,,,,,,11457.0,SlGoczaUzdroMOB,"Goczałkowice Zdrój, ul. Parkowa",49.937850,18.975594,2280.0,Goczałkowice-Zdrój,Goczałkowice-Zdrój,pszczyński,ŚLĄSKIE,ul. Parkowa
Poziom Dopuszczalny (PD) - Ochrona Zdrowia (OZ) / > 35 dni z S24 > 50 ug/m3,PL2402 Aglomeracja Rybnicko-Jastrzębska,aglomeracja rybnicko-jastrzębska,Oddziaływanie emisji związanych z indywidualnym ogrzewaniem budynków,SlZorySikor2,2021-10-10 00:00:00,24godziny,288000.0,130.6,"Zalecane zachowania ludności określone zostały w powiadomieniu przekazanym do Wojewódzkiego Centrum Zarządzania Kryzysowego. Ograniczenia i działania określone są w Planie działań krótkoterminowych, stanowiącym integralną część POP, uchwalonego w woj. śląskim w czerwcu 2020 roku.",,,,,,,,,,10554.0,SlZorySikor2,"Żory, Os. Gen. Władysława Sikorskiego",50.029416,18.689527,1123.0,Żory,Żory,Żory,ŚLĄSKIE,ul. Sikorskiego 52
Poziom Dopuszczalny (PD) - Ochrona Zdrowia (OZ) / > 35 dni z S24 > 50 ug/m3,PL2401 Aglomeracja Górnośląska,Dąbrowa Górnicza,Oddziaływanie emisji związanych z indywidualnym ogrzewaniem budynków,SlDabroTysia,2021-09-02 00:00:00,,267462.0,112.1,"Zalecane zachowania ludności określone zostały w powiadomieniu przekazanym do Wojewódzkiego Centrum Zarządzania Kryzysowego. Ograniczenia i działania określone są w Planie działań krótkoterminowych, stanowiącym integralną część POP, uchwalonego w woj. śląskim w czerwcu 2020 roku.",,,,,,,,,,805.0,SlDabroTysia,"Dąbrowa Górnicza, ul. Tysiąclecia",50.329111,19.231222,157.0,Dąbrowa Górnicza,Dąbrowa Górnicza,Dąbrowa Górnicza,ŚLĄSKIE,ul. Tysiąclecia 25 a
Poziom Dopuszczalny (PD) - Ochrona Zdrowia (OZ) / > 35 dni z S24 > 50 ug/m3,PL2405 strefa śląska,"powiaty: lubliniecki, kłobucki",Oddziaływanie emisji związanych z indywidualnym ogrzewaniem budynków,SlLublSzymal,2021-03-31 00:00:00,,161042.0,117.992375,,,,,,,,,,,11278.0,SlLublSzymal,"Lubliniec, ul. ks. Szymały",50.675693,18.682065,490.0,Lubliniec,Lubliniec,lubliniecki,ŚLĄSKIE,ul. Ks. Płk. Jana Szymały 3
Poziom Dopuszczalny (PD) - Ochrona Zdrowia (OZ) / > 35 dni z S24 > 50 ug/m3,PL2405 strefa śląska,powiat raciborski,Oddziaływanie emisji związanych z indywidualnym ogrzewaniem budynków,SlRaciborzWPMOB,2021-03-30 00:00:00,,108211.0,186.588570833,"Zalecane zachowania ludności określone zostały w powiadomieniu przekazanym do Wojewódzkiego Centrum Zarządzania Kryzysowego. Ograniczenia i działania określone są w Planie działań krótkoterminowych, stanowiącym integralną część POP, uchwalonego w woj. śląskim w czerwcu 2020 roku.",,,,,,,,,,11794.0,SlRaciborzWPMOB,"Racibórz, Wojska Polskiego",50.091142,18.216261,768.0,Racibórz,Racibórz,raciborski,ŚLĄSKIE,ul. Wojska Polskiego 8
Próg Informowania (PI) - Ochrona Zdrowia (OZ) / S24 > 100 ug/m3,PL2404 miasto Częstochowa,miasto Częstochowa - w rejonie dróg,"Oddziaływanie emisji związanej z ruchem pojazdów na głównej drodze leżącej w pobliżu stacji,Oddziaływanie emisji związanych z indywidualnym ogrzewaniem budynków",SlCzestoArmK,2021-03-26 00:00:00,24godziny,466516.0,127.2,"Zalecane zachowania ludności określone zostały w powiadomieniu przekazanym do Wojewódzkiego Centrum Zarządzania Kryzysowego. Ograniczenia i działania określone są w Planie działań krótkoterminowych, stanowiącym integralną część POP, uchwalonego w woj. śląskim w czerwcu 2020 roku.",,,,,,,,,,798.0,SlCzestoArmK,"Częstochowa, ul. AK/Jana Pawła II",50.817217,19.118997,146.0,Częstochowa,Częstochowa,Częstochowa,ŚLĄSKIE,ul. Armii Krajowej 2
Próg Informowania (PI) - Ochrona Zdrowia (OZ) / S24 > 100 ug/m3,PL2405 strefa śląska,"powiaty: zawierciański, myszkowski",Oddziaływanie emisji związanych z indywidualnym ogrzewaniem budynków,SlZawGalczyn,2021-03-26 00:00:00,24godziny,188504.0,104.2,"Zalecane zachowania ludności określone zostały w powiadomieniu przekazanym do Wojewódzkiego Centrum Zarządzania Kryzysowego. Ograniczenia i działania określone są w Planie działań krótkoterminowych, stanowiącym integralną część POP, uchwalonego w woj. śląskim w czerwcu 2020 roku.",,,,,,,,,,11455.0,SlZawGalczyn,"Zawiercie, ul. K.I.Gałczyńskiego",50.493045,19.439012,1086.0,Zawiercie,Zawiercie,zawierciański,ŚLĄSKIE,ul. K.I.Gałczyńskiego 3
Próg Informowania (PI) - Ochrona Zdrowia (OZ) / S24 > 100 ug/m3,PL2401 Aglomeracja Górnośląska,"Zabrze, Bytom, Piekary Śląskie, Ruda Śląska, Świętochłowice",Oddziaływanie emisji związanych z indywidualnym ogrzewaniem budynków,SlZabSkloCur,2021-03-26 00:00:00,24godziny,579570.0,122.6,"Zalecane zachowania ludności określone zostały w powiadomieniu przekazanym do Wojewódzkiego Centrum Zarządzania Kryzysowego. Ograniczenia i działania określone są w Planie działań krótkoterminowych, stanowiącym integralną część POP, uchwalonego w woj. śląskim w czerwcu 2020 roku.",,,,,,,,,,,,,,,,,,,,
Próg Informowania (PI) - Ochrona Zdrowia (OZ) / S24 > 100 ug/m3,PL2402 Aglomeracja Rybnicko-Jastrzębska,"Rybnik, Żory, Jastrzębie-Zdrój, powiaty: rybnicki, mikołowski",Oddziaływanie emisji związanych z indywidualnym ogrzewaniem budynków,SlRybniBorki,2021-03-26 00:00:00,24godziny,466516.0,103.9,"Zalecane zachowania ludności określone zostały w powiadomieniu przekazanym do Wojewódzkiego Centrum Zarządzania Kryzysowego. Ograniczenia i działania określone są w Planie działań krótkoterminowych, stanowiącym integralną część POP, uchwalonego w woj. śląskim w czerwcu 2020 roku.",,,,,,,,,,834.0,SlRybniBorki,"Rybnik, ul. Borki",50.111181,18.516139,804.0,Rybnik,Rybnik,Rybnik,ŚLĄSKIE,ul. Borki 37 d
Próg Informowania (PI) - Ochrona Zdrowia (OZ) / S24 > 100 ug/m3,PL2405 strefa śląska,"powiat pszczyński, część powiatu bielskiego (gminy: Bestwina, Czechowice-Dziedzice, Wilamowice)",Oddziaływanie emisji związanych z indywidualnym ogrzewaniem budynków,SlGoczaUzdroMOB,2021-03-26 00:00:00,24godziny,186632.0,116.0,"Zalecane zachowania ludności określone zostały w powiadomieniu przekazanym do Wojewódzkiego Centrum Zarządzania Kryzysowego. Ograniczenia i działania określone są w Planie działań krótkoterminowych, stanowiącym integralną część POP, uchwalonego w woj. śląskim w czerwcu 2020 roku.",,,,,,,,,,11457.0,SlGoczaUzdroMOB,"Goczałkowice Zdrój, ul. Parkowa",49.937850,18.975594,2280.0,Goczałkowice-Zdrój,Goczałkowice-Zdrój,pszczyński,ŚLĄSKIE,ul. Parkowa
Próg Informowania (PI) - Ochrona Zdrowia (OZ) / S24 > 100 ug/m3,PL2401 Aglomeracja Górnośląska,"Gliwice, gliwicki, tarnogórski",Oddziaływanie emisji związanych z indywidualnym ogrzewaniem budynków,SlGliwicMewy,2021-03-26 00:00:00,24godziny,434650.0,102.9,"Zalecane zachowania ludności określone zostały w powiadomieniu przekazanym do Wojewódzkiego Centrum Zarządzania Kryzysowego. Ograniczenia i działania określone są w Planie działań krótkoterminowych, stanowiącym integralną część POP, uchwalonego w woj. śląskim w czerwcu 2020 roku.",,,,,,,,,,809.0,SlGliwicMewy,"Gliwice, ul. Mewy",50.279481,18.655736,221.0,Gliwice,Gliwice,Gliwice,ŚLĄSKIE,ul. Mewy 34
Próg Informowania (PI) - Ochrona Zdrowia (OZ) / S24 > 100 ug/m3,PL2404 miasto Częstochowa,W rejonie dróg,Oddziaływanie emisji związanych z indywidualnym ogrzewaniem budynków,SlCzestoArmK,2021-03-25 00:00:00,24godziny,138167.0,115.0,"Zalecane zachowania ludności określone zostały w powiadomieniu przekazanym do Wojewódzkiego Centrum Zarządzania Kryzysowego. Ograniczenia i działania określone są w Planie działań krótkoterminowych, stanowiącym integralną część POP, uchwalonego w woj. śląskim w czerwcu 2020 roku.",,,,,,,,,,798.0,SlCzestoArmK,"Częstochowa, ul. AK/Jana Pawła II",50.817217,19.118997,146.0,Częstochowa,Częstochowa,Częstochowa,ŚLĄSKIE,ul. Armii Krajowej 2
Poziom Dopuszczalny (PD) - Ochrona Zdrowia (OZ) / > 35 dni z S24 > 50 ug/m3,PL2405 strefa śląska,powiat zawierciański i myszkowski,,SlZawGalczyn,2021-03-25 00:00:00,,188504.0,130.43215,,,,,,,,,,,11455.0,SlZawGalczyn,"Zawiercie, ul. K.I.Gałczyńskiego",50.493045,19.439012,1086.0,Zawiercie,Zawiercie,zawierciański,ŚLĄSKIE,ul. K.I.Gałczyńskiego 3
Poziom Dopuszczalny (PD) - Ochrona Zdrowia (OZ) / > 35 dni z S24 > 50 ug/m3,PL2404 miasto Częstochowa,W rejonie dróg.,"Oddziaływanie emisji związanych z indywidualnym ogrzewaniem budynków,Oddziaływanie emisji związanej z ruchem pojazdów na głównej drodze leżącej w pobliżu stacji",SlCzestoArmK,2021-03-25 00:00:00,,138167.0,149.874379167,,,,,,,,,,,798.0,SlCzestoArmK,"Częstochowa, ul. AK/Jana Pawła II",50.817217,19.118997,146.0,Częstochowa,Częstochowa,Częstochowa,ŚLĄSKIE,ul. Armii Krajowej 2
Próg Informowania (PI) - Ochrona Zdrowia (OZ) / S24 > 100 ug/m3,PL2405 strefa śląska,"powiat zawierciański, myszkowski",Oddziaływanie emisji związanych z indywidualnym ogrzewaniem budynków,SlZawGalczyn,2021-03-25 00:00:00,24godziny,188504.0,102.5,"Zalecane zachowania ludności określone zostały w powiadomieniu przekazanym do Wojewódzkiego Centrum Zarządzania Kryzysowego. Ograniczenia i działania określone są w Planie działań krótkoterminowych, stanowiącym integralną część POP, uchwalonego w woj. śląskim w czerwcu 2020 roku.",,,,,,,,,,11455.0,SlZawGalczyn,"Zawiercie, ul. K.I.Gałczyńskiego",50.493045,19.439012,1086.0,Zawiercie,Zawiercie,zawierciański,ŚLĄSKIE,ul. K.I.Gałczyńskiego 3
Próg Informowania (PI) - Ochrona Zdrowia (OZ) / S24 > 100 ug/m3,PL2401 Aglomeracja Górnośląska,"Zabrze, Bytom, Piekary Śląskie, Ruda Śląska, Świętochłowice",Oddziaływanie emisji związanych z indywidualnym ogrzewaniem budynków,SlZabSkloCur,2021-03-25 00:00:00,24godziny,579570.0,111.2,"Zalecane zachowania ludności określone zostały w powiadomieniu przekazanym do Wojewódzkiego Centrum Zarządzania Kryzysowego. Ograniczenia i działania określone są w Planie działań krótkoterminowych, stanowiącym integralną część POP, uchwalonego w woj. śląskim w czerwcu 2020 roku.",,,,,,,,,,,,,,,,,,,,
Próg Informowania (PI) - Ochrona Zdrowia (OZ) / S24 > 100 ug/m3,PL2402 Aglomeracja Rybnicko-Jastrzębska,"Rybnik, Żory, Jastrzębie Zdrój, rybniski , mikołowski",Oddziaływanie emisji związanych z indywidualnym ogrzewaniem budynków,SlRybniBorki,2021-03-25 00:00:00,24godziny,466516.0,104.7,"Zalecane zachowania ludności określone zostały w powiadomieniu przekazanym do Wojewódzkiego Centrum Zarządzania Kryzysowego. Ograniczenia i działania określone są w Planie działań krótkoterminowych, stanowiącym integralną część POP, uchwalonego w woj. śląskim w czerwcu 2020 roku.",,,,,,,,,,834.0,SlRybniBorki,"Rybnik, ul. Borki",50.111181,18.516139,804.0,Rybnik,Rybnik,Rybnik,ŚLĄSKIE,ul. Borki 37 d
Poziom Dopuszczalny (PD) - Ochrona Zdrowia (OZ) / > 35 dni z S24 > 50 ug/m3,PL2405 strefa śląska,powiat myszkowski,Oddziaływanie emisji związanych z indywidualnym ogrzewaniem budynków,SlMyszMiedzi,2021-03-24 00:00:00,,70880.0,166.4,,,,,,,,,,,825.0,SlMyszMiedzi,"Myszków, ul. Miedziana",50.579733,19.3267,581.0,Myszków,Myszków,myszkowski,ŚLĄSKIE,ul. Miedziana 3
